Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
C,,15222.3071700793,93162.3640501341,3745.29607821189,5451.93233180048,14864.4830090866,6081.87978743071,18441.8581106134,10222.6197797318,6570.02774096311,74990.0258649257,
D,,3087.50409374447,1256.41995006013,35049.9864501817,19947.3258558365,13958.083908183,5224.61632441459,7690.7786399228,5328.90833119099,4330.66907618593,1525.09315744609,
E,,4411.48812866915,3451.56606527461,3075.57980331409,3041.33929982994,2687.07702575477,4101.58842513841,2558.6006888418,3233.55434360608,2952.64044611902,2029.41490488051,
F,,4936.02485774689,2884.30663636018,3177.79566182011,2985.89209576218,3735.9440747132,4414.85731724042,4436.48618336637,3041.45262497639,2513.30495152016,883.43197931672,
G,,4738.04853881976,3299.54623605279,2874.19297704784,2485.62801137577,2221.04032004309,6997.54716099033,3838.24300954677,2957.51094887436,2609.02670014345,1793.25596386797,
H,,9058.33017836103,5198.31411659805,4422.98653662528,3162.62496275254,2658.7449321569,3400.83704452698,3210.08533182218,3424.81161178357,2882.88688852857,1061.7104388703,

AVG Target 2 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,14.8074092723429,8.31643685201804,3.45495127203564,3.07967633008957,7.97883680619692,10.1341590663475,27.8553517378055,31.7852298730987,29.4723990532135,3.59375,
B,,16.0089732259512,7.50578059042124,5.75551145706537,24.6046072096569,21.2642509856642,26.7031532072352,52.6734677776942,50.4529102102993,47.9673955220273,3.42878794670105,
C,,13.0167926958314,25.6482750624418,3.18174685952919,5.00625379159415,6.41747563864153,6.18436872515875,21.5370241873687,24.2773559442588,21.8271318336264,12.1015630165736,
D,,5.75990955730279,3.72172222896056,10.2564921587013,13.1941164509923,24.0309483169214,18.5557507403561,32.7374392774232,37.8399738111671,43.5213603937189,5.97512098153432,
E,,19.9697288315011,19.8016008723716,19.3205435818422,29.8446632988032,30.3088955470553,30.8455892505181,38.7529631520116,40.2312563873163,31.6025244285896,16.1910188754977,
F,,19.1899873016488,19.3152965738722,19.43202947301,27.7221767766035,27.098525129339,73.1475675204366,33.0985144260784,42.565460680784,31.8535291437053,16.8127254681272,
G,,19.6085767941254,19.1829388778367,19.3947391937969,27.1330922515851,28.591895024282,27.0274694815523,34.5842641511363,33.7741935309099,33.5822113832683,17.844711451111,
H,,19.6688217890442,19.3975588562498,19.6609783546651,29.1545119737543,28.2451392655485,27.6765023848646,34.7922561330151,35.7606405672218,35.6332447952234,19.1390520969688,

